Group,Cell,Lifetime,var_deltaQ,min_deltaQ,skew_deltaQ,kurt_deltaQ,Q_ini
G24,G24C3,9.172,0.0001337085375768357,-0.023489106063973808,0.48397734021123984,-1.3121151351423757,0.282545973333333
G24,G24C4,9.301,0.0002591183233267039,-0.03593845441500412,0.2367113640411643,-1.5661831475304457,0.280779537777778
G25,G25C1,12.788,7.925905517087174e-05,-0.018842672167638963,0.779936524218896,-0.9889965317523877,0.285638186666667
G25,G25C2,14.425,4.1978123529788656e-05,-0.013892539092819733,0.9343527698104797,-0.9020803710594407,0.284567466666667
G25,G25C3,16.526,0.00010716426838210774,-0.023566288084242604,0.5617532596737749,-1.199773884301616,0.284015324444444
G25,G25C4,30.075,0.0001149971735045745,-0.023991489614289485,0.482071154049766,-1.2516813758516625,0.282244266666667
G26,G26C1,31.125,3.0448612141614423e-05,-0.009250460287326179,0.3638825614304002,-1.2107719676238828,0.285969031111111
G26,G26C2,48.009,3.440540045936811e-05,-0.00960697082826728,0.3522176096712891,-1.2345700614802797,0.282343928888889
G26,G26C4,40.247,2.9539985731639044e-05,-0.0075091705833184585,0.4315822401967791,-1.0285203740100946,0.285784711111111
G27,G27C1,18.531,0.0001017640131852208,-0.022791616335256726,0.7804428422078261,-0.9920186850202573,0.286678435555556
G27,G27C2,15.872,0.0001036212236978119,-0.02218205471499829,0.8144568207751887,-0.9414979952782128,0.284682382222222
G27,G27C3,12.36,0.0001429270642667631,-0.026657457107332194,0.6482937672715648,-1.116548238820443,0.285323786666667
G27,G27C4,13.481,7.837487692117759e-05,-0.018532780883512512,0.9657286088223163,-0.7908684526411944,0.283525973333333
G28,G28C1,8.125,0.00042441236225538816,-0.0490425175282104,0.2397727206038311,-1.5359705340248015,0.282344373333333
G28,G28C2,10.748,0.0002827589481218793,-0.0406208130515702,0.48919840160612255,-1.3404401413579168,0.285554595555556
G28,G28C3,10.799,0.0003448518435621579,-0.0432565002487903,0.3314165651699632,-1.4553094005363332,0.283882702222222
G28,G28C4,6.462,0.0003975969159086755,-0.04947857095010538,0.282929992778192,-1.5131467010770006,0.282873297777778
G29,G29C1,12.098,0.00013175303930001848,-0.024431285671883518,0.6477557371142323,-1.0850532489242433,0.285435982222222
G29,G29C2,19.239,0.00012668743317993517,-0.026812921978415116,0.6189085378278132,-1.1591531766839844,0.283694471111111
G29,G29C3,15.964,0.00012505053489457091,-0.025630647974103027,0.6140838302737757,-1.131083154712032,0.284038008888889
G29,G29C4,12.906,0.00010204963028067876,-0.022464963572487173,0.7298462275725257,-1.0398702250919876,0.285148675555556
G35,G35C1,14.688,0.0001348908951476993,-0.026064527907933177,0.42387647151742686,-1.4101556241501298,0.2859484722222222
G35,G35C2,7.647,0.00017580491334866032,-0.029812514637899024,0.38418086820501335,-1.4514246846282681,0.2795222222222222
G35,G35C3,10.851,0.00020508393525069097,-0.03157198779795961,0.2995709539831188,-1.485761466710228,0.2831652777777778
G35,G35C4,9.503,0.00021101144826577868,-0.03219939502159519,0.28903162058413545,-1.5136776969276486,0.2858646111111111
G36,G36C2,12.423,0.00019421200366097395,-0.03235027075578359,0.3105614855965344,-1.5125084931858293,0.2800874166666667
G36,G36C3,12.424,0.000245962322408125,-0.03593729236580562,0.2219992751312416,-1.5632119111114966,0.2834787777777778
G36,G36C4,5.828,0.0004941550001791989,-0.053274799263019396,0.10716875246639523,-1.6325009946868965,0.2833278055555555
G37,G37C2,17.296,4.522120252658621e-05,-0.01170956329553241,0.9339043774143247,-0.5673974829976638,0.2844034722222222
G37,G37C3,15.565,4.652302870008331e-05,-0.013120501041440774,0.9199033580161879,-0.6618594517001641,0.2843657222222222
G37,G37C4,13.087,4.183195662998616e-05,-0.011239461846110826,1.005661797231487,-0.4087907258027532,0.2847734722222222
G38,G38C1,8.602,0.000328675593422187,-0.042285981894641,0.17416340860728657,-1.60809769523469,0.2800818055555555
G38,G38C2,8.633,0.0001387152106935828,-0.025537203563176514,0.4894099160532781,-1.3228578137987146,0.2859575
G38,G38C3,13.129,7.287168067236607e-05,-0.015164995468407438,0.7470721521505189,-0.8993923327532589,0.2844986111111111
G38,G38C4,12.134,0.0001861942593272087,-0.030107035323066494,0.3083188223759635,-1.484628899549286,0.2837694444444444
G39,G39C1,11.496,9.627909750252037e-05,-0.020847619825644814,0.6338730305181528,-1.156148226694559,0.2845449444444444
G39,G39C2,11.738,7.90525178401672e-05,-0.018565660533855888,0.7273879006927395,-1.0131240071478398,0.2839944444444445
G39,G39C3,10.828,9.79590215075153e-05,-0.021567788804333188,0.6263281362561127,-1.1731671949587448,0.2855138888888889
G39,G39C4,12.068,0.0001490875913235147,-0.026866929437337095,0.3990726413691942,-1.4085353528198472,0.2824833333333333
G40,G40C1,30.809,6.710342307631431e-05,-0.015576473500416965,0.47717144397718186,-1.1234007402762587,0.2839319444444445
G40,G40C2,28.26,6.410523849611807e-05,-0.016081216096248574,0.5180937667066264,-1.138560145030769,0.2840830555555556
G40,G40C4,27.85,7.588736602678065e-05,-0.016876141637463482,0.46026440354669457,-1.1626364479631393,0.2850051944444444
G41,G41C1,16.706,0.00019399286724960067,-0.03120811375066168,0.46662514674009925,-1.3223342567502605,0.2837875
G41,G41C2,12.781,0.000253890758150429,-0.03701823751956118,0.3879170816297916,-1.387376000414751,0.282599
G41,G41C3,14.574,0.00022025447244685908,-0.03311026414021778,0.42340130916260027,-1.343273904251653,0.2841319444444444
G41,G41C4,13.267,0.00020667719149862116,-0.032424936475244415,0.460857069807987,-1.3096545913833528,0.2834333333333333
G42,G42C1,18.648,7.383539955782506e-05,-0.01691306859067976,0.740762639375424,-0.9081473345540716,0.2843267777777777
G42,G42C2,21.683,9.503348713649435e-05,-0.021058616905142435,0.6117346225826852,-1.0840163642768736,0.2821958333333333
G42,G42C3,15.693,9.100557445971816e-05,-0.0205360141164444,0.6803959779679789,-1.0185641784676949,0.2866944444444445
G43,G43C1,20.565,0.00013393017931561196,-0.02490298500415611,0.3576154288951484,-1.3492468309466794,0.2814416666666666
G43,G43C2,17.79,0.00010229366695494539,-0.02039551291324937,0.5211780440808306,-1.1539036370265987,0.2819036666666666
G43,G43C3,23.663,0.00010747087046415713,-0.0211654363598065,0.3972489058760667,-1.2829904916459178,0.2848653333333333
G43,G43C4,18.82,0.00012354125271132072,-0.02375859506740402,0.40219984717395113,-1.3025794355868203,0.2828805555555555
